id,kadai_id,status,do_person,task,plan_hour,due_date,actual_hour,do_date,created_at,updated_at
31,9,99_Close,"吉野","先週分の売上・支出をまとめ、グーグルドライブに上げる",1.5,2017-08-14,6.0,2017-08-14,"2017-10-22 12:30:59.185765","2017-10-22 12:30:59.185765"
32,9,99_Close,"吉野","先週分の売上・支出をまとめ、グーグルドライブに上げる",1.5,2017-08-21,2.5,2017-08-21,"2017-10-22 12:30:59.192632","2017-10-22 12:30:59.192632"
33,9,99_Close,"吉野","先週分の売上・支出をまとめ、グーグルドライブに上げる",1.5,2017-08-28,3.0,2017-08-27,"2017-10-22 12:30:59.200166","2017-10-22 12:30:59.200166"
34,9,99_Close,"吉野","先月分の売上・支出をまとめ、グーグルドライブに上げる",2.0,2017-09-01,1.2,2017-09-01,"2017-10-22 12:30:59.206753","2017-10-22 12:30:59.206753"
35,11,99_Close,"吉野","A8商品を10件YDNに出稿する",4.0,2017-07-27,3.0,2017-07-29,"2017-10-22 12:30:59.215192","2017-10-22 12:30:59.215192"
36,11,99_Close,"吉野","A8商品を10件YDNに出稿する",4.0,2017-07-28,3.0,2017-07-29,"2017-10-22 12:30:59.230174","2017-10-22 12:30:59.230174"
37,11,99_Close,"吉野","A8商品を10件YDNに出稿する",3.0,2017-07-29,3.0,2017-07-30,"2017-10-22 12:30:59.246115","2017-10-22 12:30:59.246115"
38,11,99_Close,"吉野","A8商品を10件YDNに出稿する",3.0,2017-07-31,3.0,2017-07-31,"2017-10-22 12:30:59.254103","2017-10-22 12:30:59.254103"
39,11,99_Close,"吉野","A8商品を10件YDNに出稿する",3.0,2017-08-01,3.5,2017-07-31,"2017-10-22 12:30:59.259974","2017-10-22 12:30:59.259974"
40,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-02,1.5,2017-08-02,"2017-10-22 12:30:59.266774","2017-10-22 12:30:59.266774"
41,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-02,1.7,2017-08-02,"2017-10-22 12:30:59.273641","2017-10-22 12:30:59.273641"
42,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-02,1.5,2017-08-03,"2017-10-22 12:30:59.279585","2017-10-22 12:30:59.279585"
43,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-03,1.5,2017-08-03,"2017-10-22 12:30:59.287118","2017-10-22 12:30:59.287118"
44,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-03,1.5,2017-08-03,"2017-10-22 12:30:59.294391","2017-10-22 12:30:59.294391"
45,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-03,1.2,2017-08-03,"2017-10-22 12:30:59.301289","2017-10-22 12:30:59.301289"
46,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-04,1.3,2017-08-04,"2017-10-22 12:30:59.312512","2017-10-22 12:30:59.312512"
47,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-04,1.5,2017-08-04,"2017-10-22 12:30:59.319011","2017-10-22 12:30:59.319011"
48,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-04,1.5,2017-08-04,"2017-10-22 12:30:59.326122","2017-10-22 12:30:59.326122"
49,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-05,1.3,2017-08-05,"2017-10-22 12:30:59.339364","2017-10-22 12:30:59.339364"
50,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-05,1.5,2017-08-05,"2017-10-22 12:30:59.354080","2017-10-22 12:30:59.354080"
51,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-05,1.3,2017-08-05,"2017-10-22 12:30:59.361423","2017-10-22 12:30:59.361423"
52,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-07,1.2,2017-08-06,"2017-10-22 12:30:59.367530","2017-10-22 12:30:59.367530"
53,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-07,1.5,2017-08-06,"2017-10-22 12:30:59.381958","2017-10-22 12:30:59.381958"
54,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-07,1.2,2017-08-07,"2017-10-22 12:30:59.387853","2017-10-22 12:30:59.387853"
55,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-08,1.5,2017-08-08,"2017-10-22 12:30:59.394779","2017-10-22 12:30:59.394779"
56,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-08,1.2,2017-08-08,"2017-10-22 12:30:59.404432","2017-10-22 12:30:59.404432"
57,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-08,1.0,2017-08-08,"2017-10-22 12:30:59.411220","2017-10-22 12:30:59.411220"
58,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-09,1.2,2017-08-09,"2017-10-22 12:30:59.418448","2017-10-22 12:30:59.418448"
59,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-09,1.3,2017-08-09,"2017-10-22 12:30:59.425678","2017-10-22 12:30:59.425678"
60,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-09,1.3,2017-08-09,"2017-10-22 12:30:59.431656","2017-10-22 12:30:59.431656"
61,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-10,1.5,2017-08-10,"2017-10-22 12:30:59.444887","2017-10-22 12:30:59.444887"
62,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-10,1.0,2017-08-10,"2017-10-22 12:30:59.450623","2017-10-22 12:30:59.450623"
63,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-10,1.2,2017-08-10,"2017-10-22 12:30:59.465353","2017-10-22 12:30:59.465353"
64,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-11,1.2,2017-08-11,"2017-10-22 12:30:59.471206","2017-10-22 12:30:59.471206"
65,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-11,1.4,2017-08-11,"2017-10-22 12:30:59.478407","2017-10-22 12:30:59.478407"
66,11,99_Close,"吉野","A8商品を5件YDNに出稿する",1.5,2017-08-11,2.0,2017-08-11,"2017-10-22 12:30:59.485473","2017-10-22 12:30:59.485473"
67,12,99_Close,"作村","AT商品を5件YDNに出稿する",1.5,2017-08-16,1.5,2017-08-16,"2017-10-22 12:30:59.491304","2017-10-22 12:30:59.491304"
68,12,99_Close,"作村","AT商品を5件YDNに出稿する",1.5,2017-08-18,1.5,2017-08-18,"2017-10-22 12:30:59.500011","2017-10-22 12:30:59.500011"
69,12,99_Close,"吉野","AT健康食品のうちYDN商品名出稿が可能な商品をピックアップする",2.0,2017-08-08,1.5,2017-08-09,"2017-10-22 12:30:59.507088","2017-10-22 12:30:59.507088"
70,12,99_Close,"吉野","ATコスメのうちYDN商品名出稿が可能な商品をピックアップする",2.0,2017-08-09,1.5,2017-08-09,"2017-10-22 12:30:59.513543","2017-10-22 12:30:59.513543"
71,12,99_Close,"吉野","ATeコマースのうちYDN商品名出稿が可能な商品をピックアップする",1.5,2017-08-10,2.5,2017-08-10,"2017-10-22 12:30:59.518898","2017-10-22 12:30:59.518898"
72,12,99_Close,"吉野","AT金融・保険のうちYDN商品名出稿が可能な商品をピックアップする",1.5,2017-08-11,1.1,2017-08-11,"2017-10-22 12:30:59.525570","2017-10-22 12:30:59.525570"
73,12,99_Close,"吉野","ATエンターテイメントのうちYDN商品名出稿が可能な商品をピックアップする",1.5,2017-08-11,0.4,2017-08-11,"2017-10-22 12:30:59.531171","2017-10-22 12:30:59.531171"
74,12,99_Close,"吉野","ATサービス業のうちYDN商品名出稿が可能な商品をピックアップする",1.5,2017-08-12,2.5,2017-08-12,"2017-10-22 12:30:59.537696","2017-10-22 12:30:59.537696"
75,12,99_Close,"吉野","ATその他のうちYDN商品名出稿が可能な商品をピックアップする",1.5,2017-08-12,0.8,2017-08-19,"2017-10-22 12:30:59.551558","2017-10-22 12:30:59.551558"
76,12,99_Close,"作村","AT商品を5件YDNに出稿する",1.5,2017-08-19,1.5,2017-08-19,"2017-10-22 12:30:59.558343","2017-10-22 12:30:59.558343"
77,14,99_Close,"吉野","SSクイックリンクオプションのクリック率を測定する",0.5,2017-08-01,0.2,2017-08-01,"2017-10-22 12:30:59.572718","2017-10-22 12:30:59.572718"
78,15,99_Close,"吉野","広告ごとのクリック率の差異と、広告インデックスを計測する",1.0,2017-08-01,1.5,2017-08-01,"2017-10-22 12:30:59.578194","2017-10-22 12:30:59.578194"
79,14,99_Close,"吉野","SSクイックリンクオプションのクリック率を測定する",0.5,2017-08-15,0.2,2017-08-15,"2017-10-22 12:30:59.583671","2017-10-22 12:30:59.583671"
80,15,99_Close,"吉野","広告ごとのクリック率の差異と、広告インデックスを計測する",1.0,2017-08-15,1.5,2017-08-16,"2017-10-22 12:30:59.591837","2017-10-22 12:30:59.591837"
81,16,99_Close,"吉野","商品名YDN改善LPのテンプレート作成用に1商品LP案を作成し、縞居くんに依頼する",2.0,2017-08-11,2.0,2017-08-12,"2017-10-22 12:30:59.597852","2017-10-22 12:30:59.597852"
82,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",2.0,2017-08-07,4.0,2017-08-06,"2017-10-22 12:30:59.603307","2017-10-22 12:30:59.603307"
83,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",3.0,2017-08-14,2.5,2017-08-20,"2017-10-22 12:30:59.609734","2017-10-22 12:30:59.609734"
84,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",3.0,2017-08-14,1.5,2017-08-20,"2017-10-22 12:30:59.614983","2017-10-22 12:30:59.614983"
85,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",3.0,2017-08-21,1.5,2017-08-21,"2017-10-22 12:30:59.622253","2017-10-22 12:30:59.622253"
86,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",3.0,2017-08-22,1.1,2017-08-22,"2017-10-22 12:30:59.627733","2017-10-22 12:30:59.627733"
87,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-25,0.8,2017-08-25,"2017-10-22 12:30:59.634202","2017-10-22 12:30:59.634202"
88,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-25,0.6,2017-08-25,"2017-10-22 12:30:59.639525","2017-10-22 12:30:59.639525"
89,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-29,0.7,2017-08-29,"2017-10-22 12:30:59.646214","2017-10-22 12:30:59.646214"
90,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-29,0.4,2017-08-29,"2017-10-22 12:30:59.660430","2017-10-22 12:30:59.660430"
91,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-29,0.4,2017-08-29,"2017-10-22 12:30:59.665947","2017-10-22 12:30:59.665947"
92,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-29,0.4,2017-08-29,"2017-10-22 12:30:59.683310","2017-10-22 12:30:59.683310"
93,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-29,0.5,2017-08-29,"2017-10-22 12:30:59.691501","2017-10-22 12:30:59.691501"
94,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-30,1.2,2017-08-30,"2017-10-22 12:30:59.698208","2017-10-22 12:30:59.698208"
95,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-31,0.4,,"2017-10-22 12:30:59.703466","2017-10-22 12:30:59.703466"
96,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",2.0,2017-08-20,1.5,2017-08-21,"2017-10-22 12:30:59.709984","2017-10-22 12:30:59.709984"
97,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",2.0,2017-08-21,1.5,2017-08-22,"2017-10-22 12:30:59.715671","2017-10-22 12:30:59.715671"
98,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",2.0,2017-08-21,1.1,2017-08-22,"2017-10-22 12:30:59.725452","2017-10-22 12:30:59.725452"
99,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",2.0,2017-08-22,0.4,2017-08-23,"2017-10-22 12:30:59.732951","2017-10-22 12:30:59.732951"
100,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",2.0,2017-08-22,0.7,2017-08-23,"2017-10-22 12:30:59.738954","2017-10-22 12:30:59.738954"
101,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",2.0,2017-08-22,0.8,2017-08-23,"2017-10-22 12:30:59.745734","2017-10-22 12:30:59.745734"
102,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",2.0,2017-08-23,1.5,2017-08-23,"2017-10-22 12:30:59.751494","2017-10-22 12:30:59.751494"
103,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-24,0.7,2017-08-24,"2017-10-22 12:30:59.763881","2017-10-22 12:30:59.763881"
104,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-24,1.1,2017-08-24,"2017-10-22 12:30:59.773570","2017-10-22 12:30:59.773570"
105,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-24,1.0,2017-08-24,"2017-10-22 12:30:59.786986","2017-10-22 12:30:59.786986"
106,16,99_Close,"吉野","商品名YDNのLPを1商品分改善し、広告出稿する",1.5,2017-08-25,1.0,2017-08-25,"2017-10-22 12:30:59.793810","2017-10-22 12:30:59.793810"
107,22,99_Close,"吉野","スキンケアLPをSSに関連キーワード出稿する",2.0,2017-07-28,2.5,2017-07-29,"2017-10-22 12:30:59.799092","2017-10-22 12:30:59.799092"
108,23,99_Close,"吉野","スキンケアLPのインプレッション・クリックが発生するか測定する",0.5,2017-08-01,0.3,2017-08-01,"2017-10-22 12:30:59.805654","2017-10-22 12:30:59.805654"
109,23,99_Close,"吉野","スキンケアLPのインプレッション・クリックが発生するか測定する",0.5,2017-08-07,0.3,2017-08-07,"2017-10-22 12:30:59.811433","2017-10-22 12:30:59.811433"
110,23,99_Close,"吉野","スキンケアLPのインプレッション・クリックが発生するか測定する",0.5,2017-08-14,0.5,2017-08-15,"2017-10-22 12:30:59.820080","2017-10-22 12:30:59.820080"
111,24,99_Close,"吉野","スキンケアLPの内容修正箇所を洗い出す",1.0,2017-07-24,1.0,2017-07-24,"2017-10-22 12:30:59.826962","2017-10-22 12:30:59.826962"
112,24,99_Close,"吉野","スキンケアLPの内容追加項目を洗い出す",1.0,2017-07-24,1.0,2017-07-24,"2017-10-22 12:30:59.833776","2017-10-22 12:30:59.833776"
113,24,99_Close,"吉野","スキンケアLPの内容追加項目①上部コメント案を作成する",2.0,2017-07-26,3.0,2017-07-26,"2017-10-22 12:30:59.846448","2017-10-22 12:30:59.846448"
114,24,99_Close,"吉野","スキンケアLPの内容追加項目②口コミ点数を調査する",1.0,2017-07-25,1.0,2017-07-25,"2017-10-22 12:30:59.853235","2017-10-22 12:30:59.853235"
115,24,99_Close,"吉野","スキンケアLPの内容追加項目③口コミのうちつかえそうなものをピックアップする",4.0,2017-07-26,5.0,2017-07-27,"2017-10-22 12:30:59.867248","2017-10-22 12:30:59.867248"
116,24,99_Close,"吉野","スキンケアLPの内容追加項目④下部コメント案を作成する",1.0,2017-07-27,1.0,2017-07-27,"2017-10-22 12:30:59.874107","2017-10-22 12:30:59.874107"
117,24,99_Close,"吉野","スキンケアLPの内容修正・追加案を縞居君に伝え反映を依頼する",0.5,2017-07-27,0.5,2017-07-28,"2017-10-22 12:30:59.889245","2017-10-22 12:30:59.889245"
